0|46
28341	90
51210	90
79500	90
82317	90
98399	90
151565	90
152077	90
173467	80
176858	80
180487	90
211565	90
263882	90
275191	90
149962	70
51948	30
113759	30
251690	30
22935	50
45979	50
59092	70
159380	50
206862	70
210480	70
224444	70
231934	50
232604	30
237425	50
245257	50
23301	50
64052	70
77710	70
97326	30
119186	90
154225	50
161823	30
182018	70
186306	90
211701	50
229481	70
236546	90
270557	70
286976	30
69022	90
70401	30
138935	30
182642	30
1|267
3091	90
11828	90
33269	90
64811	90
79500	90
89183	90
91679	90
121889	90
141075	90
146353	90
147606	90
161019	90
166257	90
199204	90
210805	90
211661	90
242177	90
273574	90
158554	70
67143	50
265177	50
120185	70
266657	70
163882	90
195282	90
204614	90
268716	90
17678	70
52670	70
56576	70
23301	0
43444	0
103870	0
66886	70
8738	90
119006	90
281022	90
282386	50
21072	30
41685	30
51254	70
82752	70
202309	30
76575	70
179540	70
194390	70
82298	50
139910	70
150712	70
174485	50
205381	30
227328	30
232860	50
274830	50
17430	70
20960	70
24748	70
74248	70
90605	70
142632	70
85562	30
129550	30
262888	50
273550	30
2992	30
5436	70
14702	90
154983	70
207401	90
275585	90
76992	90
120535	90
129978	70
154016	70
222858	70
283612	90
1906	50
26594	50
87857	50
105828	50
130575	50
136993	50
55752	70
69262	70
249930	70
258373	70
288449	70
239975	70
279521	70
291792	70
146361	90
215038	90
276414	90
110789	50
43785	70
51384	70
97763	70
212966	50
3382	50
10367	30
93168	50
117235	30
119203	30
150181	50
155963	50
165601	50
208477	50
233840	70
294826	70
11371	70
220242	70
235373	70
80864	70
105684	70
228876	30
235445	70
251423	30
268500	30
15676	70
39718	90
52557	70
62075	30
115719	30
129191	30
143892	70
163770	30
180247	30
252460	70
46210	50
59164	70
86954	30
127656	70
223859	50
239558	70
283494	70
152514	90
190330	90
271692	90
34693	70
77280	70
82941	70
87468	70
112535	50
136073	50
198740	50
286668	50
59964	30
121800	70
140058	90
148679	30
226726	70
260734	30
269846	70
270454	90
4442	70
6794	90
25333	70
39764	70
49399	70
71462	70
84749	90
109120	90
122532	70
125653	90
127895	70
144993	90
155622	70
161811	90
214851	70
254020	70
12181	30
22143	50
53228	70
60346	30
95245	30
108203	30
124282	50
179556	70
221579	30
243848	70
270934	30
277059	70
279980	50
294186	70
28605	30
64773	90
116553	30
203608	30
211493	90
31889	70
156867	90
157820	90
254631	70
256311	70
278721	90
163612	30
195412	30
260696	30
138322	70
279014	70
99717	70
204695	70
206956	50
255519	50
92575	50
131423	50
289463	50
64052	0
123997	0
206461	90
277915	0
1353	70
114716	70
160158	70
133015	30
141775	30
82129	90
131863	90
167585	70
252834	30
21641	30
186843	30
294808	30
8597	30
174243	30
267251	30
49234	50
185011	50
230796	50
285839	50
100116	90
188768	90
244850	90
14408	90
89345	30
223992	30
286575	30
158796	50
266412	70
144325	70
41118	70
284601	70
113599	70
61547	50
77050	50
241246	70
261087	70
289766	50
47953	70
266541	70
84678	0
125845	0
210466	0
274479	0
122428	90
180427	90
186106	90
83158	70
157576	70
247601	70
22625	70
151926	70
153215	70
101871	70
243020	70
268738	70
272746	70
2|32
279548	90
141075	0
193280	0
211661	0
21658	0
277273	90
150050	90
19065	0
78503	50
189054	90
35779	0
44857	70
91679	0
227135	90
41507	0
218848	30
180983	90
143959	0
294846	0
135354	90
17678	90
160961	0
49094	0
222273	0
195282	0
234107	90
97379	0
167570	0
274135	30
295856	70
158118	70
108019	90
